Uuid,Void/Retire,Fully specified name:en,Data class,Data type,Same as mappings,_version:1,_order:2500
78809AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Levothyroxine sodium,Drug,N/A,CIEL:78809,,
78849AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Lidocaine,Drug,N/A,CIEL:78849,,
78945AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Lisinopril,Drug,N/A,CIEL:78945,,
78994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Lodoxamide,Drug,N/A,CIEL:78994,,
79054AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Lorazepam,Drug,N/A,CIEL:79054,,
79074AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Losartan,Drug,N/A,CIEL:79074,,
79247AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Magnesium sulfate,Drug,N/A,CIEL:79247,,
79250AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Magnesium trisilicate,Drug,N/A,CIEL:79250,,
79303AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Mannitol,Drug,N/A,CIEL:79303,,
79413AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Mebendazole,Drug,N/A,CIEL:79413,,
79414AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Mebeverine,Drug,N/A,CIEL:79414,,
79501AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Mefenamic acid,Drug,N/A,CIEL:79501,,
79574AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Meperidine,Drug,N/A,CIEL:79574,,
79651AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Metformin,Drug,N/A,CIEL:79651,,
79720AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Methylcellulose,Drug,N/A,CIEL:79720,,
79723AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Methyldopa,Drug,N/A,CIEL:79723,,
79755AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Metoclopramide,Drug,N/A,CIEL:79755,,
79767AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Metoprolol tartrate,Drug,N/A,CIEL:79767,,
79782AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Metronidazole,Drug,N/A,CIEL:79782,,
79831AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Miconazole,Drug,N/A,CIEL:79831,,
79853AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Midazolam,Drug,N/A,CIEL:79853,,
80106AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Morphine,Drug,N/A,CIEL:80106,,
80109AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Morphine sulfate,Drug,N/A,CIEL:80109,,
80367AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Naloxone,Drug,N/A,CIEL:80367,,
80514AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Neomycin,Drug,N/A,CIEL:80514,,
80532AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Neostigmine,Drug,N/A,CIEL:80532,,
80637AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Nifedipine,Drug,N/A,CIEL:80637,,
80696AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Nitrofurantoin,Drug,N/A,CIEL:80696,,
80704AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Nitroglycerin,Drug,N/A,CIEL:80704,,
80945AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Nystatin,Drug,N/A,CIEL:80945,,
81041AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Omeprazole,Drug,N/A,CIEL:81041,,
81369AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Oxytocin,Drug,N/A,CIEL:81369,,
81568AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Paraffin,Drug,N/A,CIEL:81568,,
81725AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Penicillin G,Drug,N/A,CIEL:81725,,
81729AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"Penicillin G, procaine",Drug,N/A,CIEL:81729,,
81730AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Penicillin V,Drug,N/A,CIEL:81730,,
81951AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Phenobarbital,Drug,N/A,CIEL:81951,,
82024AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Phenytoin sodium,Drug,N/A,CIEL:82024,,
82082AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Pilocarpine,Drug,N/A,CIEL:82082,,
82111AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Pioglitazone,Drug,N/A,CIEL:82111,,
82147AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Piracetam,Drug,N/A,CIEL:82147,,
82350AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Potassium chloride,Drug,N/A,CIEL:82350,,
